,eventid,iyear,extended,country,region,city,latitude,longitude,crit1,crit2,crit3,multiple,success,suicide,attack_type,target_type,target_nationality,group_name,nperps,nperpcap,weapon_type,nkill,nkillus,nwound,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,hostkidoutcome_txt,nreleased,date,ones
86751,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_Not_protected,Private property,Nigeria,Unknown,NA,0,Firearms,23,0,0,0,1,11,0,NA,NA,,,1,259000,NA,NA,NA,7,Unknown,0,5/13/2008,1
86796,2.01E+11,2010,1,Niger,Sub-Saharan Africa,Tanout,14.97089,8.88786,1,1,1,0,1,0,Spray_Structures_found,Government,Niger,Movement of Niger People for Justice (MNJ),NA,0,Unknown,0,0,0,0,1,4,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,NA,5/15/2008,1
86806,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,4,0,Firearms,23,0,0,0,1,1,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,5/16/2008,1
86834,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Ubima,5.119071,6.902132,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,6,0,Firearms,23,0,0,0,1,3,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,5/18/2008,1
86863,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,IRS_Coverage,Public services,Ethiopia,Oromo Liberation Front,NA,0,Bombs,6,1,6,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/20/2008,1
86901,2.01E+11,2010,0,Mali,Sub-Saharan Africa,Abeibara,19.110108,1.749848,1,1,0,0,1,0,IRS_pop_protected,Government,Mali,Unknown,NA,0,Firearms,23,0,31,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/22/2008,1
86902,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,IRS_pop_protected,Public services,Nigeria,Unknown,NA,0,Firearms,23,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/22/2008,1
86916,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Okrika,4.74,7.083,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Firearms,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/22/2008,1
86921,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Unknown,60,0,Firearms,0,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/23/2008,1
86967,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Awoba,4.858077,6.920913,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,10037554.15,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/26/2008,1
86971,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Ejersa Dera,8.985533,38.786446,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,0,Bombs,3,0,5,10037554.15,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/27/2008,1
86972,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Unknown,4.429297,41.453873,1,1,1,0,1,0,IRS_Coverage,Government,Ethiopia,Somali Islamic Front,NA,0,Bombs,0,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/27/2008,1
87042,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Warri,5.528666,5.756006,1,1,1,0,1,0,Unknown,Private property,Nigeria,Unknown,NA,0,Unknown,23,0,1,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,5/31/2008,1
87109,2.01E+11,2010,0,Democratic Republic of the Congo,Sub-Saharan Africa,Kinyando,-0.791773,29.045993,1,1,1,0,1,0,IRS_pop_protected,Private property,Democratic Republic of the Congo,Democratic Front for the Liberation of Rwanda (FDLR),NA,0,Firearms,6,0,14,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/4/2008,1
87112,2.01E+11,2010,0,Zimbabwe,Sub-Saharan Africa,Zaka District,-20.350765,31.354163,1,1,1,0,1,0,IRS_pop_protected,Hate crimes,Zimbabwe,Unknown,NA,0,Firearms,7,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/4/2008,1
87120,2.01E+11,2010,0,Democratic Republic of the Congo,Sub-Saharan Africa,Rutshuru,-1.185569,29.446951,1,1,1,0,1,0,IRS_pop_protected,Private property,Democratic Republic of the Congo,Democratic Front for the Liberation of Rwanda (FDLR),NA,0,Firearms,12,0,NA,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/4/2008,1
87127,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Nabanga,4.570327,29.049685,0,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Lord's Resistance Army (LRA),100,0,Unknown,21,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/5/2008,1
87140,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Aba,5.116561,7.367093,1,1,1,0,1,0,Spray_Structures_found,Government,Nigeria,Unknown,NA,0,Firearms,23,0,0,67333.33333,1,2,0,NA,2,,,1,664000,NA,79680,NA,2,Hostage(s) released by perpetrators,2,6/4/2008,1
87170,2.01E+11,2010,0,Niger,Sub-Saharan Africa,Tatokou,15.107421,8.547382,1,1,1,0,1,0,IRS_pop_protected,Private property,Niger,Movement of Niger People for Justice (MNJ),NA,0,Incendiary,0,0,1,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/7/2008,1
87207,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Unknown,NA,0,Firearms,23,0,4,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/9/2008,1
87218,2.01E+11,2010,0,Cameroon,Sub-Saharan Africa,Bakassi district,4.613543,8.594081,1,1,1,0,1,0,Spray_Structures_found,Government,Cameroon,Unknown,NA,0,Firearms,3,0,0,67333.33333,1,1,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,NA,6/9/2008,1
87225,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Private property,Nigeria,Unknown,NA,0,Firearms,23,0,4,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/10/2008,1
87237,2.01E+11,2010,0,Liberia,Sub-Saharan Africa,Monrovia,6.290743,-10.760524,0,1,1,0,1,0,IRS_pop_protected,Private property,Liberia,Unknown,NA,0,Firearms,12,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/11/2008,1
87265,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Opobo,4.511389,7.54,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,30,0,Firearms,23,0,0,0,1,1,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,6/12/2008,1
87296,2.01E+11,2010,0,Chad,Sub-Saharan Africa,Goz Beida,12.224226,21.413471,0,1,1,1,1,0,Unknown,Private property,Chad,National Alliance (Chad),NA,0,Firearms,1,0,NA,158553.0561,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/14/2008,1
87297,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Bonny,4.434049,7.17049,1,1,1,1,1,0,Children_U5yrs_protected,Private property,Nigeria,Unknown,20,0,Firearms,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/14/2008,1
87298,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Bonny,4.434049,7.17049,1,1,1,1,1,0,IRS_Coverage,Government,Nigeria,Unknown,NA,0,Bombs,23,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/14/2008,1
87299,2.01E+11,2010,1,Uganda,Sub-Saharan Africa,Pagei,0.5,33.65,1,1,1,0,1,0,Spray_Structures_found,Private property,Uganda,Lord's Resistance Army (LRA),30,0,Unknown,0,0,0,0,1,2,0,NA,NA,,,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,1,6/14/2008,1
87329,2.01E+11,2010,0,Chad,Sub-Saharan Africa,Am Dam,12.766027,20.466095,0,1,1,1,1,0,Unknown,Private property,Chad,National Alliance (Chad),NA,0,Unknown,0,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/16/2008,1
87330,2.01E+11,2010,0,Chad,Sub-Saharan Africa,Biltine,14.525542,20.92607,0,1,1,1,0,0,Unknown,Private property,Chad,National Alliance (Chad),NA,0,Unknown,0,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/16/2008,1
87331,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,6.54381,5.898714,1,1,1,0,1,0,IRS_Coverage,Public services,Nigeria,Niger Delta Freedom Fighters (NDDF),NA,0,Bombs,23,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/16/2008,1
87360,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Al Junaynah,13.448906,22.465007,1,1,1,0,1,0,Spray_Structures_found,Government,Sudan,Unknown,1000,0,Unknown,0,0,NA,67333.33333,1,1,0,NA,NA,,,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,1,6/18/2008,1
87369,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,1,1,0,Children_U5yrs_protected,Public services,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Unknown,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/19/2008,1
87370,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,1,1,0,Spray_Structures_found,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Unknown,23,0,0,0,1,1,1,2,NA,,,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,1,6/19/2008,1
87375,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,1,1,0,Spray_Structures_found,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Unknown,23,0,0,0,1,1,1,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,6/19/2008,1
87377,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Unknown,NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/19/2008,1
87389,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Escravos,5.613867,5.18708,1,1,1,0,1,0,IRS_Coverage,Public services,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/20/2008,1
87404,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Escravos,5.613519,5.186918,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/21/2008,1
87414,2.01E+11,2010,1,Niger,Sub-Saharan Africa,Arlit,18.73694,7.38528,1,1,1,0,1,0,Spray_Structures_found,Private property,Niger,Movement of Niger People for Justice (MNJ),NA,0,Firearms,0,0,0,0,1,4,0,NA,3,,,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,4,6/22/2008,1
87517,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Lagos,6.524379,3.379206,1,1,1,0,1,0,IRS_pop_protected,Government,Nigeria,Unknown,NA,0,Melee,23,0,2,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/28/2008,1
87526,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Kebri Dehar,6.739797,44.279755,1,1,0,0,1,0,Unknown,Government,Ethiopia,Ogaden National Liberation Front (ONLF),NA,0,Unknown,4,0,7,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,6/29/2008,1
87576,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Makurdi,7.729979,8.536277,1,1,1,0,1,0,IRS_pop_protected,Public services,Nigeria,Unknown,3,0,Firearms,23,0,1,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/1/2008,1
87667,2.01E+11,2010,0,Zimbabwe,Sub-Saharan Africa,Ruwa,-17.902734,31.236882,1,1,1,0,1,0,IRS_pop_protected,Private property,Zimbabwe,Unknown,20,0,Firearms,0,0,8,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/6/2008,1
87669,2.01E+11,2010,0,Democratic Republic of the Congo,Sub-Saharan Africa,Unknown,-0.066712,29.512046,1,1,1,0,1,0,IRS_pop_protected,Private property,Democratic Republic of the Congo,Mayi Mayi,NA,0,Firearms,2,0,3,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/7/2008,1
87690,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Abyei,9.839069,28.486437,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Unknown,NA,0,Firearms,0,0,2,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/7/2008,1
87695,2.01E+11,2010,0,Burundi,Sub-Saharan Africa,Bujumbura,-3.382942,29.367103,1,1,1,0,1,0,IRS_Coverage,Government,Burundi,Unknown,2,0,Bombs,23,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/7/2008,1
87708,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Public services,Sudan,Unknown,NA,0,Firearms,6,0,7,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/8/2008,1
87712,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Igbokoda,6.369694,4.784509,1,1,1,0,0,0,IRS_pop_protected,Government,Nigeria,Unknown,4,0,Firearms,23,0,1,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/8/2008,1
87819,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Abakaliki,6.332763,8.099836,1,1,1,0,1,0,IRS_pop_protected,Public services,Nigeria,Unknown,NA,0,Firearms,23,0,3,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/15/2008,1
87832,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Unknown,NA,0,Firearms,1,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/16/2008,1
87852,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Tebidaba,4.556138,5.91998,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Unknown,NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/17/2008,1
87867,2.01E+11,2010,1,Mali,Sub-Saharan Africa,Tessalit,20.19861,1.01139,1,1,0,0,1,0,Spray_Structures_found,Government,Mali,Tuaregs,NA,0,Firearms,23,0,2,0,1,3,0,NA,NA,,,NA,NA,NA,NA,NA,7,Unknown,NA,7/19/2008,1
87879,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Boji Boji,5.532462,5.898714,1,1,1,0,1,0,Spray_Structures_found,Government,Nigeria,Unknown,3,0,Firearms,23,0,0,0,1,1,0,NA,NA,,,1,20,NA,NA,NA,2,Hostage(s) released by perpetrators,1,7/20/2008,1
87953,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,Spray_Structures_found,Public services,Nigeria,Unknown,12,0,Firearms,23,0,0,0,1,2,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,7/25/2008,1
87969,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,NA,0,Unknown,23,0,0,0,1,5,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,7/26/2008,1
88004,2.01E+11,2010,0,Burundi,Sub-Saharan Africa,Gitega,-3.427512,29.924253,1,1,1,0,1,0,IRS_Coverage,Private property,Burundi,Party for the Liberation of the Hutu People (PALIPEHUTU),NA,0,Bombs,23,0,45,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/27/2008,1
88010,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Kula,4.343656,6.646386,1,1,1,0,1,0,IRS_Coverage,Public services,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,7/28/2008,1
88075,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815833,6.956667,1,1,1,0,1,0,Spray_Structures_found,Government,Nigeria,Unknown,NA,0,Firearms,23,0,0,0,1,1,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,7/30/2008,1
88112,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Onne,4.723816,7.151618,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,NA,0,Firearms,23,0,0,0,1,2,0,NA,35,,,0,NA,NA,NA,NA,7,Unknown,2,8/2/2008,1
88124,2.01E+11,2010,0,Zimbabwe,Sub-Saharan Africa,Harare,-17.825166,31.03351,1,1,1,0,1,0,IRS_Coverage,Government,Zimbabwe,Unknown,NA,0,Bombs,0,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/2/2008,1
88128,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Ese Odo district,6.259025,5.000046,1,1,1,0,1,0,Spray_Structures_found,Hate crimes,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Unknown,23,0,0,0,1,9,0,NA,7,,,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,9,8/3/2008,1
88137,2.01E+11,2010,0,Zimbabwe,Sub-Saharan Africa,Harare,-17.825166,31.03351,1,1,1,0,1,0,IRS_Coverage,Government,Zimbabwe,Unknown,NA,0,Bombs,0,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/3/2008,1
88159,2.01E+11,2010,0,Chad,Sub-Saharan Africa,N'Djamena,12.120819,15.086542,1,1,1,0,1,0,IRS_Coverage,Private property,Chad,Unknown,NA,0,Bombs,7,0,10,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/4/2008,1
88199,2.01E+11,2010,0,Swaziland,Sub-Saharan Africa,Big Bend,-26.806357,31.935952,1,1,1,0,1,0,IRS_Coverage,Public services,Swaziland,Umbane People's Liberation Army (Swaziland),NA,0,Bombs,0,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/7/2008,1
88200,2.01E+11,2010,0,Swaziland,Sub-Saharan Africa,Mpaka,-26.413517,31.772988,1,1,1,0,1,0,IRS_Coverage,Public services,Swaziland,Umbane People's Liberation Army (Swaziland),NA,0,Bombs,0,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/7/2008,1
88260,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Justice and Equality Movement (JEM),NA,0,Firearms,0,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/11/2008,1
88278,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,IRS_Coverage,Public services,Nigeria,Niger Delta Vigilante (NDV),NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/12/2008,1
88355,2.01E+11,2010,0,Uganda,Sub-Saharan Africa,Amgamwa,2.856026,34.217082,1,1,1,0,1,0,IRS_pop_protected,Public services,Uganda,Karamojong Warriors,NA,0,Firearms,1,0,6,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/15/2008,1
88367,2.01E+11,2010,0,Uganda,Sub-Saharan Africa,Panyangara,2.960151,34.137895,1,1,1,0,1,0,IRS_pop_protected,Public services,Uganda,Karamojong Warriors,NA,0,Firearms,1,0,1,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/16/2008,1
88410,2.01E+11,2010,0,Uganda,Sub-Saharan Africa,Kampala,0.350848,32.580224,1,1,1,0,1,0,Spray_Structures_found,Private property,Uganda,Sudan People's Liberation Army (SPLA),2,2,Unknown,0,0,0,0,1,1,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,8/18/2008,1
88449,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Kalaa,10.249722,13.021111,1,1,1,0,1,0,IRS_pop_protected,Government,Nigeria,Unknown,27,0,Firearms,23,0,1,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,8/21/2008,1
88475,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Bonny,4.434049,7.17049,1,1,1,0,1,0,IRS_pop_Not_protected,Private property,Nigeria,Unknown,NA,0,Firearms,23,0,0,0,1,8,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,8/24/2008,1
88503,2.01E+11,2010,1,Sudan,Sub-Saharan Africa,Nyala,12.055377,24.953895,1,1,1,0,1,0,IRS_pop_Not_protected,Public services,Sudan,Unknown,2,0,Firearms,0,0,0,0,1,95,NA,NA,2,Libya,Libya,0,NA,NA,NA,NA,5,Successful Rescue,95,8/26/2008,1
88528,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,NA,1,Firearms,23,0,0,0,1,1,0,NA,NA,,,1,1.20E+07,NA,1.20E+07,NA,2,Hostage(s) released by perpetrators,1,8/27/2008,1
88584,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Addis Ababa,8.977146,38.773226,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,0,Bombs,7,0,24,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/3/2008,1
88673,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,4,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/15/2008,1
88686,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/17/2008,1
88706,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Bugama,4.733262,6.866619,1,1,1,0,1,0,IRS_Coverage,Private property,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),NA,0,Bombs,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/19/2008,1
88713,2.01E+11,2010,0,Nigeria,Sub-Saharan Africa,Owerri,5.485081,7.035,1,1,1,0,1,0,IRS_pop_protected,Government,Nigeria,Unknown,NA,0,Firearms,23,0,0,158553.0561,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/19/2008,1
88744,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Unknown,6.538238,44.161478,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Al-Shabaab,NA,0,Unknown,0,0,0,0,1,2,0,NA,NA,Somalia,,0,NA,NA,NA,NA,7,Unknown,NA,9/22/2008,1
88800,2.01E+11,2010,0,Central African Republic,Sub-Saharan Africa,Am Dafok,10.462647,23.289973,1,1,1,0,1,0,IRS_pop_protected,Private property,Central African Republic,Forces for the Unification of the Central African Republic (FIRCA),20,0,Firearms,23,0,0,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/28/2008,1
88809,2.01E+11,2010,0,Ethiopia,Sub-Saharan Africa,Jijiga,9.355483,42.802627,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Unknown,NA,0,Bombs,4,0,22,0,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,9/28/2008,1
88864,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Menawashei,12.679788,24.983636,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Unknown,60,0,Firearms,1,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,10/6/2008,1
88892,2.01E+11,2010,0,Sudan,Sub-Saharan Africa,Al Junaynah,13.449252,22.464955,1,1,1,0,1,0,IRS_pop_protected,Government,Sudan,Justice and Equality Movement (JEM),NA,0,Firearms,15,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,10/10/2008,1
88932,2.01E+11,2010,0,Central African Republic,Sub-Saharan Africa,Bangui,4.396901,18.561947,1,1,1,0,1,0,Sprayed_Structures,Government,Central African Republic,Unknown,NA,0,Unknown,23,0,0,67333.33333,0,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,.,NA,10/15/2008,1
88941,2.01E+11,2010,1,Nigeria,Sub-Saharan Africa,Port Harcourt,4.815554,7.049844,1,1,1,0,1,0,Spray_Structures_found,Private property,Nigeria,Unknown,5,0,Firearms,23,0,0,0,1,2,0,NA,NA,,,0,NA,NA,NA,NA,7,Unknown,0,10/16/2008,1
